Primary ID	Win001_C01	Win001_C02	Win001_C03	Win001_C04	Win001_C05	Win001_C06	Win001_C07	Win001_C08	Win001_C09	Win001_C10	Win001_C11	Win002_C01	Win002_C02	Win002_C03	Win002_C04	Win003_C01	Win003_C02	Win003_C03	Win003_C04	Win003_C05	Win003_C06	Win003_C07	Win003_C08	Win003_C09	Win004_C01	Win004_C02	Win004_C03	Win004_C04	Win004_C05	Win004_C06	Win004_C07	Win005_C01	Win005_C02	Win005_C03	Win005_C04	Win005_C05	Win005_C06	Win006_C01	Win006_C02	Win006_C03	Win006_C04	Win006_C05	Win006_C06	Win006_C07	Win006_C08	Win006_C09	Win007_C01	Win008_C01	Win008_C02	Win008_C03	Win008_C04	Win008_C05	Win009_C01	Win009_C02	Win009_C03	Win009_C04	Win009_C05	Win009_C06	Win009_C07	Win009_C08	Win010_C01	Win010_C02	Win010_C03	Win010_C04	Win010_C05	Win011_C01	Win011_C02	Win011_C03	Win011_C04	Win011_C05	Win011_C06	Win012_C01	Win012_C02	Win012_C03	Win012_C04	Win012_C05	Win012_C06	Win012_C07	Win013_C01	Win013_C02	Win013_C03	Win013_C04	Win014_C01	Win014_C02	Win014_C03	Win014_C04	Win014_C05	Win014_C06	Win015_C01	Win015_C02	Win015_C03	Win015_C04	Win015_C05	Win015_C06	Win015_C07	Win015_C08	Win016_C01	Win016_C02	Win016_C03	Win016_C04	Win016_C05	Win016_C06	Win016_C07	Win017_C01	Win017_C02	Win017_C03	Win017_C04	Win017_C05	Win017_C06	Win018_C01	Win018_C02	Win018_C03	Win019_C01	Win019_C02	Win019_C03
126	27488982	1250072	5715275	953985	1095049	13919734	2045984	2416064	323129	5949363	448729	3849958	2997859	135765	1202746	195247	150454	465369	703806	137308	120973	167888	1340353	2924932	44919	209462	160006	126600	111713	116239	25586	2700	27032	195473	718238	218672	122135	562217	134714	159718	96429	226849	164765	167124	268710	35467	4954313	146688	766256	305914	211240	117409	141965	1873	57308	95334	59080	26013	303680	48954	198577	191568	3663398	138440	58622	941758	389647	208317	135679	91600	62361	423621	223203	15155	199522	1272327	368864	603837	493364	9238	55420	52892	287842	50016	23474	23809	962522	55170	17623	4423	65026	10159	83766	84653	106404	34405	56157	355977	147920	41525	70052	2506413	237151	83192	8926	22535	6474	3529	12309	6564	21162	80628	127398	533204	2444
127	28172281	1267419	5069391	877259	1055710	13661580	1880188	2298729	302544	6323249	389389	3554189	3314834	133321	1195289	184887	160336	490444	511458	181347	135871	175755	1302682	2857134	45764	308266	151703	94064	130089	143245	22451	4780	233413	189954	594179	235368	70857	666681	90567	109302	93252	220011	150885	178602	232581	34351	4532405	176495	564793	304273	217159	102953	119606	1402	29131	95461	44154	39695	264697	75762	325682	162924	2888652	114916	79348	793126	296270	161808	109780	149779	78278	321805	135696	10623	166818	967422	251412	622557	385610	9348	53375	56168	224669	72173	28179	32490	873963	34257	9275	8291	55560	5221	66257	64044	78849	33933	63580	276925	96289	57176	48594	1356978	256543	67744	9324	20645	8575	1102	11351	5229	13449	89391	98115	327996	168
128	31445091	1558477	4891666	799106	1295629	8241411	1875161	2288145	369062	6568016	441979	2137895	3004522	113761	1206399	199515	183556	492024	459075	178409	153919	234135	1078447	2601488	45121	333621	189914	91816	152789	225556	27549	16217	262462	245282	727856	288383	114969	774890	82071	189296	136849	220362	145271	235915	236349	37947	3169132	170566	201449	260919	192845	55799	187651	1207	63360	38866	42109	87140	124535	73844	413273	191620	1670895	179557	62662	209188	79247	255975	36965	187020	149476	131476	289634	9708	50807	220612	100439	557876	147969	5709	48795	24210	64293	78951	9524	37033	172497	64220	12987	10927	18073	2983	44086	22237	10576	13882	15727	66934	17287	67228	19990	88069	118080	17757	10147	3913	6965	1525	4063	6869	3391	138615	44471	59049	1399
129	30225371	1383854	4165912	884103	810283	12524388	1746470	1797500	304007	6400412	393368	3004432	2825408	110805	1051708	157770	146908	485223	389423	161620	157132	217092	923288	2306270	37102	435935	147357	51215	149925	160189	10771	22303	242956	177110	319459	291175	81609	654253	110046	104892	123566	233675	142099	210516	99727	28230	2999246	225313	237026	253537	149585	40777	96258	7645	26713	66929	15557	115104	167537	53762	704699	134756	1208828	103048	63473	797849	124945	166305	75240	89554	93546	140154	88256	6580	146675	400561	110771	409446	185650	3526	45778	63473	97227	63687	44621	26524	807323	60472	10931	8035	46353	13532	46234	59709	29094	16666	27943	211066	94973	54167	45620	377998	150334	70429	5989	12450	3762	2825	6290	6316	11429	106527	95016	280252	7328
130	29472414	1419669	4166740	834544	691489	10577945	1673581	1675197	244957	5724744	408803	2483587	2555520	99856	909145	139952	132808	473535	300797	162331	154562	215137	754940	1909456	37252	392270	126723	43724	125248	143641	10699	45362	355973	139976	268745	223089	72453	588954	87698	131110	108420	182663	153506	192040	101183	22098	3971577	159308	458759	256650	129542	85372	86176	78	47559	10768	8390	49514	256175	48841	431550	76948	2401767	91433	69975	78	230223	117509	115441	141528	97010	252859	85049	5778	3959	778963	194938	464930	342688	29901	47774	2489	172373	66732	32071	24540	2159	35058	12945	6991	1748	176	43287	158	47890	2014	1583	36	1899	59357	36	618282	145624	11	5221	12855	7107	3762	5326	6344	1369	118605	2089	6386	2389
131	29620911	2245136	6801315	1080073	1422331	14628056	2331365	2864778	482710	6231919	506584	4490927	3725713	111929	1552649	225474	221676	585113	717557	209979	124534	168291	1955389	3683247	56584	311635	220216	246208	140294	234747	65131	11786	267336	176949	1041996	204272	181107	632243	83677	218556	76036	273957	153012	167424	526320	21161	4963108	201532	807277	366909	202729	147731	158155	1536	59669	118003	135986	38029	278036	80809	363313	260484	3188176	191532	92755	755992	469841	239113	113812	223345	140335	321267	146305	2859	199183	1453611	289831	1028926	622205	22867	52531	38810	268896	93863	51455	27353	860555	85285	12689	8131	74770	12893	73748	77129	80392	45614	84888	392052	94514	76986	55061	1836101	271597	67540	13956	30039	1906	2422	9763	6603	15940	124059	124850	321175	4449
132	27397160	1274470	4994486	845795	1131262	12998184	1923712	2207504	286241	6013495	412925	3508990	3054714	132711	1113074	167761	151000	436574	543097	156276	124585	165316	1232253	2728503	34334	350100	137854	91155	125069	136211	22849	39	145652	155161	597596	246740	100033	576339	116259	142208	100533	220749	170051	170170	226380	32650	4263780	173004	547208	294288	186178	106000	133412	1385	47123	100994	63345	40082	246185	60592	327768	168337	2749604	182652	97338	1025035	278113	202529	105499	210752	100833	294249	150706	12130	204920	904927	242459	614547	366273	22735	51747	57998	207539	69408	38107	26321	1186881	73113	12797	7341	70252	12673	80208	88031	83732	38313	78656	361034	126580	65495	78386	1428954	268792	92711	15871	23664	5967	2943	5430	5953	24557	97677	134892	522434	4555
133	29869241	1582054	5212857	918009	1171427	13406600	1924808	2162575	339419	6195241	476204	3303532	3214878	140832	1201042	172517	170713	457845	625537	177244	149305	223310	1264517	2798493	49147	469566	132285	141577	154082	217815	23992	33436	393334	196657	546846	257625	89748	647450	84787	134449	115608	197597	187549	199661	255096	25948	4384930	219516	532591	320653	227673	89484	136094	596	74919	128415	78824	69293	274911	74360	474275	204439	2910562	134603	107077	1092663	275437	187022	112950	213923	131537	332895	300350	4135	204523	929825	257192	738948	352650	6007	53480	60360	251153	77167	52558	29242	1182568	97302	20766	6981	68802	15441	59780	95792	87374	31177	44449	339517	122097	72478	81351	2111204	169105	102468	9039	19671	9310	3289	3799	8642	31747	101526	118339	680944	6196
134	33352496	1718195	5514560	905686	1201829	16145081	2108510	2676771	366968	7741879	433254	4192868	3823076	134369	1479897	224547	201970	608021	547691	221353	176278	225029	1499202	3453045	51863	383231	179594	171447	174510	289770	35707	14542	302374	252125	577229	256371	70928	889701	104099	130188	134906	254890	230742	228971	355822	43014	5479129	271918	655946	368920	186383	128362	155655	3729	62039	74189	108485	80036	348169	89720	380682	151266	3195435	110150	151357	438887	311901	159508	132498	183327	114666	351316	150909	7433	110147	1097941	251386	698000	414596	71561	55522	41878	244132	93416	43816	41330	470779	76154	16712	16112	30129	11203	55408	26826	88809	21988	43842	150787	43997	70424	24565	1208681	230475	38718	9831	20422	8749	132	4989	6689	6248	111382	68445	123114	1992
135	25718284	1295876	4725014	747544	835608	11927866	1793222	2001028	268730	5258381	335162	3116084	2548018	118635	980506	121249	142356	377246	525673	120955	120046	143958	1015073	2221321	39574	210601	132926	82414	110156	96249	12915	513	169293	151169	572406	183347	74931	441182	134246	66611	70800	181551	143067	145731	158451	30521	4138173	52076	605818	243812	170291	87877	122441	7135	45338	49563	10729	41822	238392	51109	232797	114991	2663950	204949	28945	262743	292133	121997	107227	78487	57967	335863	101305	9693	59106	948949	273495	492852	431611	4670	40561	23159	226383	61083	23867	15805	264509	74334	14927	5231	17335	2517	62659	22783	64343	18323	32742	81222	34583	44163	17518	1001694	247153	26031	11214	15095	8260	2095	5017	2141	2080	79348	37556	93906	4633
